"","id","osm_id","pct_census"
"3188",3188,"134578743",0
"3189",3189,"134578746",0
"3190",3190,"134662687",0
"3191",3191,"134668656",0
"3192",3192,"134668660",0
"3193",3193,"134683697",0
"3194",3194,"134683698",0
"3195",3195,"134683699",0
"3196",3196,"134683700",0
"3197",3197,"134683701",0
"3198",3198,"134696846",0
"3199",3199,"134746679",0
"3200",3200,"134751726",0
"3201",3201,"134757108",92
"3202",3202,"134758864",211
"3203",3203,"134758865",579
"3204",3204,"134758866",0
"3205",3205,"134760067",0
"3206",3206,"134760069",0
"3207",3207,"134796134",0
"3208",3208,"134800800",0
"3209",3209,"134800801",0
"3210",3210,"134800802",0
"3211",3211,"134800803",0
"3212",3212,"134800804",0
"3213",3213,"134800805",0
"3214",3214,"134800806",0
"3215",3215,"134800807",0
"3216",3216,"134800808",0
"3217",3217,"134800809",0
"3218",3218,"134800810",0
"3219",3219,"134800811",0
"3220",3220,"134800813",0
"3221",3221,"134800817",0
"3222",3222,"134800819",0
"3223",3223,"134800820",0
"3224",3224,"134800821",0
"3225",3225,"134800822",0
"3226",3226,"134800825",0
"3227",3227,"134800827",0
"3228",3228,"134800828",0
"3229",3229,"134800829",0
"3230",3230,"134800830",0
"3231",3231,"134800831",0
"3232",3232,"134800832",0
"3233",3233,"134800834",0
"3234",3234,"134800836",0
"3235",3235,"134800841",0
"3236",3236,"134800845",0
"3237",3237,"134801755",0
"3238",3238,"134801757",0
"3239",3239,"134801759",0
"3240",3240,"134801760",0
"3241",3241,"134801761",0
"3242",3242,"134801762",0
"3243",3243,"134801763",0
"3244",3244,"134801764",0
"3245",3245,"134801765",0
"3246",3246,"134801766",0
"3247",3247,"134801768",0
"3248",3248,"134801769",0
"3249",3249,"134801770",0
"3250",3250,"134801771",0
"3251",3251,"134801772",0
"3252",3252,"134801773",0
"3253",3253,"134801774",0
"3254",3254,"134801775",0
"3255",3255,"134801777",0
"3256",3256,"134801778",0
"3257",3257,"134801779",0
"3258",3258,"134801780",0
"3259",3259,"134806810",0
"3260",3260,"134821388",0
"3261",3261,"134836205",0
"3262",3262,"134836207",0
"3263",3263,"134885184",0
"3264",3264,"134921533",0
"3265",3265,"134921853",0
"3266",3266,"135001758",0
"3267",3267,"135001760",0
"3268",3268,"135001886",132
"3269",3269,"135001887",132
